Date,Name,Price
2021-07-08,AMZN,3731.41
2021-07-09,AMZN,3719.34
2021-07-12,AMZN,3718.55
2021-07-26,AMZN,3699.82
2021-07-07,AMZN,3696.58
2021-11-18,AMZN,3696.06
2021-07-14,AMZN,3681.68
2021-07-13,AMZN,3677.36
2021-11-19,AMZN,3676.57
2021-07-06,AMZN,3675.74
2021-07-23,AMZN,3656.64
2021-07-22,AMZN,3638.03
2021-07-15,AMZN,3631.2
2021-07-28,AMZN,3630.32
2021-07-27,AMZN,3626.39
2021-07-29,AMZN,3599.92
2021-07-21,AMZN,3585.2
2021-11-24,AMZN,3580.41
2021-11-23,AMZN,3580.04
2021-11-09,AMZN,3576.23
2021-07-16,AMZN,3573.63
2021-07-20,AMZN,3573.19
2021-11-22,AMZN,3572.57
2021-11-29,AMZN,3561.57
2021-07-19,AMZN,3549.59
2021-11-17,AMZN,3549.0
2021-11-15,AMZN,3545.68
2021-11-16,AMZN,3540.7
2020-09-02,AMZN,3531.45
2021-09-08,AMZN,3525.5
2021-11-12,AMZN,3525.15
2021-12-07,AMZN,3523.29
2021-12-08,AMZN,3523.16
2021-11-05,AMZN,3518.99
2021-07-02,AMZN,3510.98
2021-09-07,AMZN,3509.29
2021-11-30,AMZN,3507.07
2021-06-22,AMZN,3505.44
2021-11-26,AMZN,3504.56
2021-06-23,AMZN,3503.82
2020-09-01,AMZN,3499.12
2021-06-17,AMZN,3489.24
2021-11-08,AMZN,3488.98
2021-09-16,AMZN,3488.24
2021-06-18,AMZN,3486.9
2021-09-09,AMZN,3484.16
2021-12-09,AMZN,3483.42
2021-11-10,AMZN,3482.05
2021-09-01,AMZN,3479.0
2021-09-03,AMZN,3478.05
2021-11-04,AMZN,3477.0
2021-09-15,AMZN,3475.79
2021-11-11,AMZN,3472.5
2021-04-29,AMZN,3471.31
2021-08-31,AMZN,3470.79
2021-09-10,AMZN,3469.15
2021-04-30,AMZN,3467.42
2021-12-15,AMZN,3466.3
2021-09-02,AMZN,3463.12
2021-09-17,AMZN,3462.52
2021-04-28,AMZN,3458.5
2021-09-13,AMZN,3457.17
2021-06-21,AMZN,3453.96
2020-08-31,AMZN,3450.96
2021-09-14,AMZN,3450.0
2021-06-24,AMZN,3449.08
2021-06-29,AMZN,3448.14
2021-10-18,AMZN,3446.74
2021-10-28,AMZN,3446.57
2021-12-10,AMZN,3444.24
2021-10-19,AMZN,3444.15
2021-06-28,AMZN,3443.89
2021-12-01,AMZN,3443.72
2020-10-13,AMZN,3443.63
2020-10-12,AMZN,3442.93
2020-08-26,AMZN,3441.85
2021-06-30,AMZN,3440.16
2021-12-02,AMZN,3437.36
2021-10-21,AMZN,3435.01
2021-07-01,AMZN,3432.97
2021-12-06,AMZN,3427.37
2021-09-24,AMZN,3425.52
2021-08-30,AMZN,3421.57
2021-12-23,AMZN,3421.37
2021-12-22,AMZN,3420.74
2021-04-27,AMZN,3417.43
2021-09-23,AMZN,3416.0
2021-06-16,AMZN,3415.25
2021-10-20,AMZN,3415.06
2021-12-28,AMZN,3413.22
2021-10-15,AMZN,3409.02
2021-04-26,AMZN,3409.0
2021-12-21,AMZN,3408.34
2022-01-03,AMZN,3408.09
2021-09-27,AMZN,3405.8
2020-08-28,AMZN,3401.8
2021-06-25,AMZN,3401.46
2021-12-17,AMZN,3400.35
2020-08-27,AMZN,3400.0
2021-04-13,AMZN,3400.0
2021-04-16,AMZN,3399.44
2021-12-27,AMZN,3393.39
2021-10-27,AMZN,3392.49
2021-12-13,AMZN,3391.35
2021-12-03,AMZN,3389.79
2021-05-03,AMZN,3386.49
2022-03-29,AMZN,3386.3
2021-12-29,AMZN,3384.02
2021-11-03,AMZN,3384.0
2021-06-14,AMZN,3383.87
2021-06-15,AMZN,3383.13
2021-12-14,AMZN,3381.83
2021-09-22,AMZN,3380.05
2021-02-02,AMZN,3380.0
2022-03-28,AMZN,3379.81
2021-04-12,AMZN,3379.39
2021-04-15,AMZN,3379.09
2021-12-16,AMZN,3377.42
2021-10-26,AMZN,3376.07
2021-08-05,AMZN,3375.99
2021-12-30,AMZN,3372.89
2021-10-29,AMZN,3372.43
2021-04-09,AMZN,3372.2
2021-04-19,AMZN,3372.01
2020-09-03,AMZN,3368.0
2021-08-03,AMZN,3366.24
2020-10-14,AMZN,3363.71
2021-04-21,AMZN,3362.02
2021-09-20,AMZN,3355.73
2021-08-04,AMZN,3354.72
2021-02-05,AMZN,3352.15
2022-01-04,AMZN,3350.44
2021-06-10,AMZN,3349.65
2021-08-27,AMZN,3349.63
2021-06-11,AMZN,3346.83
2020-08-25,AMZN,3346.49
2021-08-06,AMZN,3344.94
2021-09-21,AMZN,3343.63
2021-02-01,AMZN,3342.88
2021-08-09,AMZN,3341.87
2021-12-20,AMZN,3341.58
2021-04-23,AMZN,3340.88
2020-10-15,AMZN,3338.65
2021-10-22,AMZN,3335.55
2021-04-20,AMZN,3334.69
2021-12-31,AMZN,3334.34
2021-04-14,AMZN,3333.0
2021-08-02,AMZN,3331.48
2021-02-04,AMZN,3331.0
2021-02-18,AMZN,3328.23
2021-07-30,AMZN,3327.59
2021-01-26,AMZN,3326.13
2022-03-30,AMZN,3326.02
2021-02-08,AMZN,3322.94
